cliente_id,riesgo_mora_score,n_reclamos,n_actividad_canal,uso_app_movistar_prom,churn_risk_label
CLI000055,35.83333333333333,0,4,1.5,riesgo_medio_bajo
CLI000072,36.33333333333333,0,6,0.0,riesgo_medio_bajo
CLI000150,189.1666666666666,2,10,0.0,riesgo_alto
CLI000245,33.33333333333333,1,8,0.0,riesgo_medio_bajo
CLI000271,0.0,0,10,4.16666666666666,riesgo_bajo
CLI000354,37.83333333333333,0,4,3.5,riesgo_medio_bajo
CLI000379,69.16666666666666,0,4,0.0,riesgo_medio_alto
CLI000437,36.33333333333333,0,6,0.0,riesgo_medio_bajo
CLI000497,72.1666666666666,0,7,0.0,riesgo_medio_alto
CLI000576,39.83333333333333,0,6,3.33333333333333,riesgo_medio_alto
CLI000579,35.33333333333333,2,5,3.66666666666666,riesgo_medio_alto
CLI000610,0.0,0,3,0.0,riesgo_bajo
CLI000691,40.3333333333333,0,3,2.33333333333333,riesgo_medio_alto
CLI000740,36.33333333333333,0,3,3.0,riesgo_medio_bajo
CLI000822,38.5,0,8,2.5,riesgo_medio_bajo
CLI000851,0.0,0,3,0.0,riesgo_bajo
CLI000867,2.33333333333333,0,3,2.83333333333333,riesgo_bajo
CLI000917,74.1666666666666,0,6,3.0,riesgo_medio_alto
CLI001050,70.0,1,7,2.83333333333333,riesgo_medio_alto
CLI001115,72.0,0,3,3.83333333333333,riesgo_medio_alto
CLI001225,34.33333333333333,0,4,0.0,riesgo_medio_bajo
CLI001320,77.3333333333333,0,9,3.16666666666666,riesgo_medio_alto
CLI001405,35.66666666666666,0,2,3.33333333333333,riesgo_medio_bajo
CLI001420,0.0,0,3,0.0,riesgo_bajo
CLI001437,76.1666666666666,0,11,0.0,riesgo_medio_alto
CLI001441,37.33333333333333,0,7,0.0,riesgo_medio_bajo
CLI001496,0.0,0,3,0.0,riesgo_bajo
CLI001577,1.83333333333333,0,3,1.83333333333333,riesgo_bajo
CLI001584,33.33333333333333,0,3,0.0,riesgo_medio_bajo
CLI001723,70.1666666666666,0,5,0.0,riesgo_medio_alto
CLI001762,39.83333333333333,0,5,0.0,riesgo_medio_alto
CLI001768,37.0,0,4,2.66666666666666,riesgo_medio_bajo
CLI001859,0.0,0,3,0.0,riesgo_bajo
CLI001896,0.0,0,3,0.0,riesgo_bajo
CLI001967,67.66666666666666,0,3,4.16666666666666,riesgo_medio_alto
CLI001984,0.0,0,3,0.0,riesgo_bajo
CLI002040,0.0,0,3,0.0,riesgo_bajo
CLI002067,76.1666666666666,0,7,4.0,riesgo_medio_alto
CLI002105,38.66666666666666,0,5,3.33333333333333,riesgo_medio_bajo
CLI002216,75.1666666666666,0,7,3.0,riesgo_medio_alto
CLI002334,38.83333333333333,0,6,2.5,riesgo_medio_bajo
CLI002376,35.33333333333333,0,5,0.0,riesgo_medio_bajo
CLI002377,0.0,0,3,0.0,riesgo_bajo
CLI002437,0.0,0,3,0.0,riesgo_bajo
CLI002439,1.0,0,4,0.0,riesgo_bajo
CLI002460,72.5,0,4,3.33333333333333,riesgo_medio_alto
CLI002496,111.3333333333333,0,3,4.0,riesgo_alto
CLI002515,107.3333333333333,0,5,0.0,riesgo_alto
CLI002545,0.0,0,3,0.0,riesgo_bajo
CLI002653,38.33333333333333,0,5,3.0,riesgo_medio_bajo
CLI002671,36.33333333333333,0,6,0.0,riesgo_medio_bajo
CLI002768,0.0,0,3,0.0,riesgo_bajo
CLI002790,35.66666666666666,0,3,2.33333333333333,riesgo_medio_bajo
CLI002829,39.33333333333333,0,5,4.0,riesgo_medio_bajo
CLI002836,68.16666666666666,1,8,0.0,riesgo_medio_alto
CLI002873,0.0,0,3,0.0,riesgo_bajo
CLI002956,38.5,0,6,2.16666666666666,riesgo_medio_bajo
CLI002985,75.1666666666666,0,7,3.0,riesgo_medio_alto
CLI002994,35.83333333333333,1,7,3.5,riesgo_medio_bajo
CLI003150,73.0,0,6,1.83333333333333,riesgo_medio_alto
CLI003171,0.0,0,1,2.0,riesgo_bajo
CLI003232,78.3333333333333,0,7,0.0,riesgo_alto
